Time (sec),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Forktip Pose X (m),Forktip Pose Y (m),Forktip Pose Z (m),Forktip Pose Roll (rad),Forktip Pose Pitch (rad),Forktip Pose Yaw (rad)
1637705116.9939451,,,,,,,-0.38340535943751347,-0.009418507573186047,0.07206759382786121,1.4457897336717314,0.3841725785721733,-0.2120375487263434
1637705117.0012267,2.3859536840828612,-0.77019433929156145,3.329103800920606,0.00082185845228109015,0.0016917683987858374,-0.00027556053106556413,,,,,,
1637705117.0039742,,,,,,,-0.3836059695073014,-0.007826102382923805,0.07292484352022299,1.435138791898324,0.3696060529993078,-0.23539332046383843
1637705117.0112705,2.367902332451719,-0.61677141608006625,3.339156782021501,0.00082328019543586066,0.0015424255931335358,-0.00028041887859920483,,,,,,
1637705117.0141668,,,,,,,-0.38431192914820467,-0.005614906618951587,0.07302288774864962,1.4271975329308233,0.3520498830506813,-0.2650205221901265
1637705117.01425,,,,,,,-0.3849638651358388,-0.003897274795486294,0.07324720199075396,1.421273482790606,0.33674627149655323,-0.28670951180299253
1637705117.0212593,1.9464009713986417,-0.67786146303031136,2.9262906342955013,0.00081579395237678853,0.0014234258692767535,-0.0002495740210018936,,,,,,
1637705117.0239525,,,,,,,-0.38588409008417024,-0.0015030261831825986,0.07298977520114536,1.4170183232178806,0.3229527557320225,-0.3144217550041515
1637705117.0312793,1.8214955033828031,-0.88790758805693271,3.0608582379522744,0.00072414432011915029,0.0012653582357179264,-0.0003125065692865213,,,,,,
1637705117.0339682,,,,,,,-0.3871261977593994,0.00116440814126334,0.07252502517708637,1.4140795611079087,0.29949566070622025,-0.34232045049606913
1637705117.0411534,1.7954499962088892,-0.84377405510254655,2.4994926561234827,0.00072956716542981197,0.0011868188783836337,-0.0002293497370827735,,,,,,
1637705117.043991,,,,,,,-0.38958088550405684,0.004429757253333166,0.06927500351077343,1.425422623551902,0.28028555903295993,-0.37189492571668653
1637705117.051175,1.7082726095739813,-1.0092426786586364,2.469311471712164,0.00086196160759534487,0.0011138759776006728,-0.00029420302741559046,,,,,,
1637705117.0539594,,,,,,,-0.39044720424593266,0.007291023456683449,0.06993938975331382,1.4172143305752032,0.25710143957545406,-0.40124477578353707
1637705117.06119,1.778130881900458,-1.0293906726838384,2.424344398283422,0.00076033959792856556,0.0011244806757142042,-0.00028380842339012155,,,,,,
